Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Gibraltar,GIB,Fixed broadband subscriptions,IT.NET.BBND,15600,16400,17400,19000,19500,21000,22100,22900,,
Guinea,GIN,Fixed broadband subscriptions,IT.NET.BBND,1000,1100,1130,1210,1250,1000,1000,882,,
"Gambia, The",GMB,Fixed broadband subscriptions,IT.NET.BBND,3570,3750,4000,4430,5000,5000,5000,5690,,
Guinea-Bissau,GNB,Fixed broadband subscriptions,IT.NET.BBND,1050,886,853,1200,1230,2380,3300,4620,6690,
Equatorial Guinea,GNQ,Fixed broadband subscriptions,IT.NET.BBND,3800,3380,1900,1620,1000,1840,1720,1820,,
Greece,GRC,Fixed broadband subscriptions,IT.NET.BBND,3440000,3620000,3780000,3960000,4110000,4260000,4440000,4470000,4480000,
Grenada,GRD,Fixed broadband subscriptions,IT.NET.BBND,19800,20800,22200,27000,31800,32000,30500,34800,,
Greenland,GRL,Fixed broadband subscriptions,IT.NET.BBND,10000,,12200,13500,14600,15700,16800,17900,,
Guatemala,GTM,Fixed broadband subscriptions,IT.NET.BBND,460000,506000,531000,,585000,612000,612000,897000,921000,
Guam,GUM,Fixed broadband subscriptions,IT.NET.BBND,,,,,3000,3000,3000,3040,,
Guyana,GUY,Fixed broadband subscriptions,IT.NET.BBND,53700,57200,64900,,83000,95000,95000,106000,,
High income,HIC,Fixed broadband subscriptions,IT.NET.BBND,404800000,418300000,435300000,446900000,459200000,478300000,495800000,508800000,522300000,
"Hong Kong SAR, China",HKG,Fixed broadband subscriptions,IT.NET.BBND,2350000,2630000,2660000,2710000,2800000,2890000,2940000,2980000,2970000,
Honduras,HND,Fixed broadband subscriptions,IT.NET.BBND,197000,220000,238000,355000,390000,397000,421000,461000,476000,
Heavily indebted poor countries (HIPC),HPC,Fixed broadband subscriptions,IT.NET.BBND,1974106,2812846,2889526,3162916,4162376,5192103,5783135,4957870,,
Croatia,HRV,Fixed broadband subscriptions,IT.NET.BBND,986000,1040000,1100000,1130000,1150000,1030000,1050000,1080000,1110000,
Haiti,HTI,Fixed broadband subscriptions,IT.NET.BBND,1350,1350,29900,31100,31100,31000,31000,35300,,
Hungary,HUN,Fixed broadband subscriptions,IT.NET.BBND,2720000,2810000,2960000,3080000,3190000,3270000,3380000,3540000,3560000,
IBRD only,IBD,Fixed broadband subscriptions,IT.NET.BBND,467200000,527100000,621000000,652900000,712000000,777400000,859400000,935800000,1000700000,
IDA & IBRD total,IBT,Fixed broadband subscriptions,IT.NET.BBND,480500000,545000000,641300000,675800000,735700000,807100000,894400000,975100000,1043900000,
IDA total,IDA,Fixed broadband subscriptions,IT.NET.BBND,13200000,17900000,20400000,22900000,23700000,29700000,35000000,39300000,43200000,
IDA blend,IDB,Fixed broadband subscriptions,IT.NET.BBND,4100000,6200000,6800000,7500000,6900000,9700000,12400000,14400000,16800000,
Indonesia,IDN,Fixed broadband subscriptions,IT.NET.BBND,3980000,5230000,6220000,8870000,10300000,10800000,12400000,13400000,13500000,
IDA only,IDX,Fixed broadband subscriptions,IT.NET.BBND,9200000,11700000,13600000,15400000,16800000,20000000,22600000,24900000,26400000,
Isle of Man,IMN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
India,IND,Fixed broadband subscriptions,IT.NET.BBND,16900000,18700000,17900000,18200000,19200000,23000000,27600000,33500000,39300000,
Not classified,INX,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
Ireland,IRL,Fixed broadband subscriptions,IT.NET.BBND,1310000,1360000,1400000,1430000,1460000,1520000,1580000,1610000,1650000,
"Iran, Islamic Rep.",IRN,Fixed broadband subscriptions,IT.NET.BBND,6610000,7610000,8600000,9810000,8630000,9560000,10700000,10900000,10900000,
Iraq,IRQ,Fixed broadband subscriptions,IT.NET.BBND,,,4290000,4490000,4560000,6250000,6390000,6390000,7770000,
Iceland,ISL,Fixed broadband subscriptions,IT.NET.BBND,124000,128000,135000,138000,139000,142000,143000,142000,145000,
Israel,ISR,Fixed broadband subscriptions,IT.NET.BBND,2170000,2260000,2340000,2440000,2480000,2600000,2660000,2660000,2760000,
Italy,ITA,Fixed broadband subscriptions,IT.NET.BBND,14900000,15600000,16600000,17200000,17500000,18100000,18700000,18600000,20100000,
Jamaica,JAM,Fixed broadband subscriptions,IT.NET.BBND,229000,286000,239000,285000,318000,386000,414000,425000,448000,
Jordan,JOR,Fixed broadband subscriptions,IT.NET.BBND,310000,297000,332000,400000,457000,631000,715000,796000,805000,
Japan,JPN,Fixed broadband subscriptions,IT.NET.BBND,38900000,39800000,40500000,41500000,42500000,44000000,45200000,46100000,47900000,
Kazakhstan,KAZ,Fixed broadband subscriptions,IT.NET.BBND,2300000,2350000,2580000,2460000,2510000,2620000,2750000,2900000,3590000,
Kenya,KEN,Fixed broadband subscriptions,IT.NET.BBND,135000,133000,288000,371000,491000,674000,789000,1040000,1320000,
Kyrgyz Republic,KGZ,Fixed broadband subscriptions,IT.NET.BBND,212000,241000,258000,251000,269000,289000,302000,390000,456000,
Cambodia,KHM,Fixed broadband subscriptions,IT.NET.BBND,83500,97600,134000,166000,184000,234000,336000,510000,,
Kiribati,KIR,Fixed broadband subscriptions,IT.NET.BBND,117,110,111,87,105,185,111,90,440,
St. Kitts and Nevis,KNA,Fixed broadband subscriptions,IT.NET.BBND,16400,14200,29300,16400,20400,21500,20100,21800,,
"Korea, Rep.",KOR,Fixed broadband subscriptions,IT.NET.BBND,20000000,20600000,21200000,21300000,21800000,22300000,22900000,23500000,24100000,
Kuwait,KWT,Fixed broadband subscriptions,IT.NET.BBND,55000,101000,118000,104000,84600,73900,70500,62600,49000,
Latin America & Caribbean (excluding high income),LAC,Fixed broadband subscriptions,IT.NET.BBND,59264966,63392441,68318078,73447526,77930829,87615313,96941561,101323399,,
Lao PDR,LAO,Fixed broadband subscriptions,IT.NET.BBND,14600,24400,27200,45400,76300,123000,151000,183000,,
Lebanon,LBN,Fixed broadband subscriptions,IT.NET.BBND,,,,,420000,432000,432000,419000,,
Liberia,LBR,Fixed broadband subscriptions,IT.NET.BBND,7000,8000,9000,,11000,13000,13000,14800,,
Libya,LBY,Fixed broadband subscriptions,IT.NET.BBND,61000,169000,318000,,318000,332000,332000,326000,,
St. Lucia,LCA,Fixed broadband subscriptions,IT.NET.BBND,28400,29800,31800,32300,15800,35600,19100,24300,,
Latin America & Caribbean,LCN,Fixed broadband subscriptions,IT.NET.BBND,67100000,71500000,76700000,82700000,86800000,97100000,107800000,115800000,120800000,
Least developed countries: UN classification,LDC,Fixed broadband subscriptions,IT.NET.BBND,7127078,8901679,9990762,11193032,12442892,15327743,17110575,16627031,,
Low income,LIC,Fixed broadband subscriptions,IT.NET.BBND,2000000,2300000,2200000,2300000,2600000,2900000,3100000,3400000,3500000,
Liechtenstein,LIE,Fixed broadband subscriptions,IT.NET.BBND,15700,15900,16300,16700,17200,18100,18600,19200,19700,
