Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Jordan,JOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,0.695469975,,,,,,,,
Japan,JPN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.24071002,3.106659889,3.166359901,3.219199896,3.218240023,3.264580011,3.276770115,3.405369997,,
Kazakhstan,KAZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.169510007,0.141790003,0.126670003,0.116829999,0.118409999,0.126019999,0.130229995,0.117150001,0.144720003,
Kenya,KEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,0.410189986,0.80874002,
Kyrgyz Republic,KGZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.119029999,0.111210003,0.107069999,0.101070002,0.085349999,0.083559997,0.07102,0.069219999,0.058759999,
Cambodia,KHM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.11823,,,,,,,,,
Kiribati,KIR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
St. Kitts and Nevis,KNA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
"Korea, Rep.",KOR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.978199959,3.987040043,4.292059898,4.516329765,4.627029896,4.795710087,4.909880161,5.210810184,,
Kuwait,KWT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.096600004,0.079850003,0.080399998,0.063490003,0.188010007,0.183899999,,0.080410004,0.097599998,
Latin America & Caribbean (excluding high income),LAC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.80728227,0.760192838,0.68237008,0.675109191,0.68657723,0.645626985,,,,
Lao PDR,LAO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Lebanon,LBN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Liberia,LBR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Libya,LBY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
St. Lucia,LCA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Latin America & Caribbean,LCN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.760756668,0.72269624,0.652333671,0.644778948,0.654522574,0.618397412,,,,
Least developed countries: UN classification,LDC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Low income,LIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Liechtenstein,LIE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,5.868330002,,,,,
Sri Lanka,LKA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.102909997,0.120339997,0.118179999,0.119489998,,0.116159998,,0.105060004,,
Lower middle income,LMC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.546215428,,0.566850098,,0.554684349,,,,,
