Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cayman Islands,CYM,Fixed broadband subscriptions,IT.NET.BBND,27400.0,24500.0,31200.0,919000.0,51000.0,32000.0,32000.0,40300.0,1980000.0
Cyprus,CYP,Fixed broadband subscriptions,IT.NET.BBND,261000.0,278000.0,296000.0,314000.0,327000.0,332000.0,341000.0,349000.0,357000.0
Czechia,CZE,Fixed broadband subscriptions,IT.NET.BBND,2950000.0,3070000.0,3150000.0,3220000.0,3740000.0,3850000.0,3950000.0,4030000.0,4100000.0
Germany,DEU,Fixed broadband subscriptions,IT.NET.BBND,30700000.0,31900000.0,33200000.0,34200000.0,35200000.0,36200000.0,36900000.0,37500000.0,38400000.0
Djibouti,DJI,Fixed broadband subscriptions,IT.NET.BBND,24200.0,24300.0,24400.0,25500.0,24400.0,25100.0,15600.0,16100.0,17000.0
Dominica,DMA,Fixed broadband subscriptions,IT.NET.BBND,15200.0,15500.0,15400.0,11500.0,15200.0,18300.0,14100.0,13900.0,1980000.0
Denmark,DNK,Fixed broadband subscriptions,IT.NET.BBND,2400000.0,2460000.0,2510000.0,2540000.0,2540000.0,2590000.0,2630000.0,2650000.0,2650000.0
Dominican Republic,DOM,Fixed broadband subscriptions,IT.NET.BBND,686000.0,761000.0,821000.0,861000.0,930000.0,1030000.0,1150000.0,1200000.0,1260000.0
Algeria,DZA,Fixed broadband subscriptions,IT.NET.BBND,2270000.0,2860000.0,3210000.0,3070000.0,3580000.0,3790000.0,4180000.0,4710000.0,5540000.0
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions,IT.NET.BBND,301262306.0,350329750.0,426573136.0,445595846.0,494878357.0,536159450.0,595137117.0,652624450.0,1980000.0
Early-demographic dividend,EAR,Fixed broadband subscriptions,IT.NET.BBND,98206435.0,110489115.0,118977804.0,130214901.0,139478095.0,163500628.0,185919719.0,197097026.0,1980000.0
East Asia & Pacific,EAS,Fixed broadband subscriptions,IT.NET.BBND,378200000.0,429800000.0,507900000.0,528700000.0,580200000.0,623300000.0,685600000.0,744900000.0,794400000.0
Europe & Central Asia (excluding high income),ECA,Fixed broadband subscriptions,IT.NET.BBND,27752125.0,30300016.0,33062975.0,35899610.0,38050221.0,44003648.0,47914757.0,50275629.0,1980000.0
Europe & Central Asia,ECS,Fixed broadband subscriptions,IT.NET.BBND,224300000.0,233500000.0,246200000.0,255000000.0,262600000.0,275500000.0,285500000.0,293100000.0,303500000.0
Ecuador,ECU,Fixed broadband subscriptions,IT.NET.BBND,1490000.0,1610000.0,1780000.0,1950000.0,2090000.0,2370000.0,2480000.0,2690000.0,2890000.0
"Egypt, Arab Rep.",EGY,Fixed broadband subscriptions,IT.NET.BBND,3830000.0,4470000.0,5230000.0,6620000.0,7570000.0,9340000.0,10800000.0,12000000.0,13600000.0
Euro area,EMU,Fixed broadband subscriptions,IT.NET.BBND,114419012.0,118710944.0,123156916.0,126665017.0,129827746.0,133712574.0,137133402.0,140546555.0,1980000.0
Eritrea,ERI,Fixed broadband subscriptions,IT.NET.BBND,500.0,600.0,1000.0,919000.0,3000.0,5000.0,5000.0,5640.0,1980000.0
