Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2376.125547,2510.430008,2618.955211,2718.085323,2837.171033,2881.999245,3019.693439,3231.300153,3554.839189
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7679.832936,8278.447686,7614.34028,8137.565206,9009.090115,7461.779332,8262.650913,9085.674128,9832.996431
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,6819.932252,7174.823496,7499.692862,7934.981412,8164.220809,7162.291752,8472.47982,10109.5234,10717.62767
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,6482.993156,6575.525088,7133.000059,7925.424765,8153.621406,8245.715216,9795.319389,9901.264099,9900.613565
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3211.780127,3262.320018,3496.771648,3503.213201,3527.543272,3240.951502,3732.868491,4076.367491,4256.784144
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,9562.106164,9832.130363,10428.63218,11285.89723,11458.79584,11464.10129,13117.39899,12889.9062,12908.63771
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,6282.673041,5977.234888,6111.817064,5952.352265,6020.750795,5733.538812,6623.50479,7247.734917,8548.010378
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,22657.30949,22476.26688,23755.7381,25340.15366,24958.38598,24091.34169,27591.24375,27731.76954,29789.15403
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,5976.159681,5917.637713,6233.322448,6303.918925,6205.057595,5463.645096,6075.802657,6540.998245,6609.804082
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381,3827.354154,4233.307837,3457.456916
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,34415.61535,35178.85027,37181.1343,40068.52155,39217.384,38241.57565,42978.88179,41454.16602,45130.12405
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,6154.495935,5968.538696,6446.312069,6865.5731075,6804.149231,6247.5969245,7054.6358055,7606.237525,7820.232404
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,25969.83831,26740.68518,28367.93926,30592.12648,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27953.76702,28451.14778,30133.30445
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,621.8456738,696.1958847,745.6324492,747.9681436,828.7089723,905.3131758,910.9478403,1011.073286,1272.016282
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,30716.62957,31404.4306,33327.66749,36002.56405,35341.57033,34635.48959,39180.37584,37948.95054,41422.79997
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.689302,1632.337453,1702.908452,1819.003021,1890.22007,1680.968847,1753.547754,1892.622706,1830.332718
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5097.531088,5363.790256,5826.848141,6085.419792,5950.828686,4844.42129,4696.171019,5405.030074,5888.736686
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,52635.03755,56875.28038,59384.98621,62524.03874,63064.63431,62236.08666,68736.50561,66108.73365,71717.70422
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2911.16211,2979.601192,3279.10779,3566.586904,3572.659183,3353.88943,3493.872286,3835.381843,4084.169404
