Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.6,58.5,59.7,62.7,68.8,72.5,76.4,78.7,81.9
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.0,28.0,37.9,43.0,22.1,62.5,68.6,69.4,69.9
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.03,94.4,95.13,93.03,91.83,97.7,98.33,98.37,98.37
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.2,13.1,18.7,21.8,22.6,23.4,24.3,24.7,26.5
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.6,19.9,22.5,28.3,31.1,34.2,37.6,44.0,45.9
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.1,13.8,14.8,15.7,17.9,20.5,23.4,27.6,32.5
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.3,23.8,26.2,36.53,49.1,55.0,58.7,59.3,60.4
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.8,69.1,69.9,72.2,75.7,78.1,78.5,83.2,85.0
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,52.5,53.3,54.2,61.4,64.3,67.4,70.6,74.3,74.1
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.6,68.5,69.5,70.77,72.87,75.33,78.37,82.33,83.73
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,28.8,34.5,37.9,41.5,44.4,47.5,50.8,55.4,56.1
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.1,77.0,80.5,83.23,86.5,90.87,91.67,91.23,92.3
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.0,35.7,42.7,48.6,55.3,63.0,71.7,78.4,81.7
