Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,ETH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.27,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
European Union,EUU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.12,2.12,2.15,2.19,2.22,2.3,2.26,2.24,2.24283574,2.24283574
Fragile and conflict affected situations,FCS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Finland,FIN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.87,2.72,2.73,2.76,2.8,2.91,2.99,2.96,2.96468997,2.96468997
Fiji,FJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
France,FRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.23,2.22,2.2,2.2,2.19,2.27,2.22,2.23,2.233119965,2.233119965
Faroe Islands,FRO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Micronesia, Fed. Sts.",FSM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Gabon,GAB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
United Kingdom,GBR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.28,2.32,2.33,2.71,2.67,2.94,2.9,1.0,0.999535024,0.999535024
Georgia,GEO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.29,0.28,0.27,0.28,0.28,0.3,0.25,0.23,0.234699994,0.234699994
Ghana,GHA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Gibraltar,GIB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Guinea,GIN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Gambia, The",GMB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.07,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Guinea-Bissau,GNB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Equatorial Guinea,GNQ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Greece,GRC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.97,1.01,1.15,1.21,1.27,1.51,1.46,1.49,1.485960007,1.485960007
Grenada,GRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Greenland,GRL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Guatemala,GTM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.03,0.02,0.03,0.03,0.03,0.05,0.06,1.0,0.999535024,0.999535024
Guam,GUM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Guyana,GUY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
