"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"New Zealand","NZL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4660","17300","43500","83000","192000","321000","470000","853000","915000","1020000","1090000","1180000","1270000","1320000","1410000","1450000","1530000","1580000","1650000","1700000","1760000","1800000","1860000","1930000","",
"OECD members","OED","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15006644","34119819","57881479","84852178.33","120501264","163756464","205225450","243930116","271119384","291489318","309735991","326597940","339955135","353041748","363964613","380122100","394560081","408708530","421502631","434366770","456648099","471516483","481180149","","",
"Oman","OMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","136","668","13200","20100","20200","32400","41100","58600","78200","113000","154000","177000","233000","285000","349000","422000","473000","509000","525000","537000","562000","",
"Other small states","OSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275374","389536","538406","700286","885795","1049622","1178851","1388176","1459173","1545913","1605855","1662601","1710570","1799097","1849097","1970415","2065902","2179591","2279111","","",
"Pakistan","PAK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14600","26600","45200","168000","392000","789000","1170000","1520000","1630000","2009999.99999999","1790000","2490000","2320000","2160000","2029999.99999999","2440000","2950000","3130000","3360000","",
"Panama","PAN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7770","12200","15000","16700","17600","113000","150000","196000","234000","258000","283000","295000","307000","310000","316000","430000","441000","540000","536000","594000","645000","721000","809000","",
"Peru","PER","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","1080","","37400","93900","228000","353000","485000","570000","726000","828000","933000","1210000","1440000","1610000","1770000","2000000","2120000","2310000","2580000","2400000","2760000","3000000","3160000","3530000","",
"Philippines","PHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","21000","55000","89000","123000","265000","496000","1050000","1720000","","1790000","2150000","2570000","2900000","2900000","2990000","3400000","3790000","6310000","7940000","9620000","8740000","7510000","",
"Palau","PLW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","100","97","101","111","142","239","518","898","1810","1110","1220","","","","","","","1240","1300","",
"Papua New Guinea","PNG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2990","4450","6100","7500","9200","11300","13200","15000","17000","18000","","20000","21000","21000","21900","","",
"Poland","POL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","122000","196000","876000","945000","2910000","4170000","4460000","5600000","5860000","6970000","6890000","7030000","7230000","7270000","7330000","7630000","7850000","7840000","8369999.99999999","8680000","9150000","10100000","",
"Pre-demographic dividend","PRE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210716","256270","281918","367508","","608342","675421","907266","1160205","1730105","6616717","7059361","7719317","10253395","10529866","10744637","","",
"Puerto Rico","PRI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","22700","54300","86300","118000","150000","182000","426000","480000","552000","558000","573000","602000","610000","704000","687000","660000","609000","610000","670000","769000","722000","751000","",
"Korea, Dem. People's Rep.","PRK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","25200","99300","261000","502000","838000","1170000","1420000","1530000","1640000","1910000","2130000","2240000","2390000","2560000","2860000","3140000","3380000","3570000","3780000","3970000","4160000","4310000","4470000","4600000","",
"Paraguay","PRY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","300","500","500","3050","5600","6000","8600","12800","77400","89500","120000","136000","157000","185000","215000","247000","290000","321000","412000","562000","723000","738000","878000","",
"West Bank and Gaza","PSE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","7460","27200","55600","","","","156000","186000","213000","235000","275000","321000","360000","364000","365000","377000","415000","421000","431000","",
"Pacific island small states","PSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8837","10820","14531","16698","17653","30845","29135","20690","22361","28676","29061","28255","23330","24883","41887","40724","42473","","","",
"Post-demographic dividend","PST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15491314","34777801","58291518","84516336.33","118119138","159074788","196043573","229497496","252986071","270110266","287624006","301763275","313484337","325563071","335022908","349397579","361610072","372405782","381778901","393951489","409730473","419408052","427309962","","",
"French Polynesia","PYF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","946","4550","11000","18200","23600","27700","30000","32200","36000","40200","44900","49700","51900","55400","57700","59800","62000","64000","74800","78300","","",
"Qatar","QAT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228","2990","10900","25600","46800","87700","106000","145000","146000","165000","185000","215000","225000","238000","254000","257000","268000","285000","296000","312000","366000","347000","",
"Romania","ROU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","15800","196000","104000","377000","1090000","1950000","2520000","2810000","3000000","3280000","3540000","3790000","4019999.99999999","4260000","4450000","4750000","5090000","5280000","5680000","6100000","6370000","6630000","",
"Russian Federation","RUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","343000","675000","1590000","2900000","4900000","9280000","12900000","15700000","17600000","20900000","23700000","25000000","26900000","27500000","31100000","32100000","32900000","33900000","34600000","35900000","","",
"Rwanda","RWA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150","1180","1700","2540","1120","2210","3940","8650","5500","2780","2920","21100","21700","21800","7500","8890","17700","31900","47800","62200","",
"South Asia","SAS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50327","83191","144282","256367","1387080","2357243","3303988","5629923","8660474","12508277","15470515","17720391","18859246","21716379","24600000","28900000","29300000","30800000","32100000","38600000","45400000","52600000","59100000","",
"Saudi Arabia","SAU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","34800","46000","68700","67800","218000","623000","1050000","1440000","1710000","1950000","2540000","","","6340000","6400000","6650000","6820000","6800000","7890000","10600000","13500000","14500000","",
"Sudan","SDN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","793","1270","2070","42500","44600","","13500","17400","24800","25700","20700","28100","26400","30500","31400","32800","28800","30400","29800","","",
"Senegal","SEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","2380","7670","18000","28900","38100","47400","58700","78600","92700","95600","107000","103000","101000","98400","112000","130000","152000","177000","208000","248000","357000","",
"Singapore","SGP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","30000","69000","151000","270000","417000","545000","656000","788000","926000","1070000","1230000","1340000","1410000","1430000","1490000","1470000","1490000","1590000","1480000","1490000","1500000","1510000","1530000","1560000","1570000","",
"Solomon Islands","SLB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","450","650","1000","1500","2000","2520","2430","2130","1880","1340","1420","1640","1170","1490","1050","1000","1000","836","","",
"Sierra Leone","SLE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","180","184","","","",
"El Salvador","SLV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19600","29300","42300","61500","89800","123000","149000","175000","206000","242000","284000","319000","353000","395000","451000","492000","525000","586000","613000","671000","","",
"San Marino","SMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","1080","1220","1480","1600","4900","5450","5990","6540","9900","10200","11700","11600","12000","10500","10900","11100","11000","12000","12200","","",
"Somalia","SOM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000","60000","70000","82000","92000","98000","","98000","119000","119000","119000","","",
"Serbia","SRB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33500","122000","326000","457000","591000","860000","970000","1060000","1170000","1190000","1320000","1450000","1480000","1550000","1620000","1730000","1800000","1950000","2080000","",
"Sub-Saharan Africa (excluding high income)","SSA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220205","","668216","797808","942937","1338656","1644780","2085297","2959275","3601737","3639380","4086781","4160112","4373332","5321881","6378369","7313987","8030378","","",
"South Sudan","SSD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","17","100","100","150","150","200","200","200","","200","200","200","",
"Sub-Saharan Africa","SSF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221153","","671709","801225","947491","1345449","1654192","2095874","2971686","3613564","3700000","4100000","4200000","4600000","5300000","6400000","7400000","8500000","9600000","",
"Small states","SST","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336837","481396","647497","840013","1053031","1259179","1403299","1625009","1782658","1889379","1988237","2100000","2200000","2300000","2300000","2500000","2700000","2900000","3000000","3100000","",
"Sao Tome and Principe","STP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","308","344","443","585","737","778","978","1100","1310","1430","1480","1560","1640","2510","3420","4580","5780","",
"Suriname","SUR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","216","420","1110","2660","4210","5760","9070","15100","23200","29300","37100","46400","52700","71200","71200","73200","80400","92300","123000","125000","","",
"Slovak Republic","SVK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4080","22500","78800","182000","305000","547000","605000","775000","877000","953000","1050000","1110000","1190000","1270000","1340000","1410000","1510000","1590000","1700000","1770000","1860000","1830000","",
"Slovenia","SVN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","56700","58000","115000","197000","280000","345000","425000","449000","471000","494000","509000","525000","556000","569000","589000","602000","613000","628000","652000","667000","677000","683000","",
"Sweden","SWE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249000","587000","840000","1100000","1410000","2520000","2490000","2780000","2900000","2950000","3000000","3030000","3070000","3150000","3280000","3500000","3680000","3850000","3940000","4040000","4179999.99999999","4250000","4260000","4300000","",
"Eswatini","SWZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","772","1500","3660","8020","3430","4200","5100","6000","7000","15500","21900","24100","27300","30800","26600","33800","",
"Sint Maarten (Dutch part)","SXM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349","948","2480","3490","3420","4550","6790","9410","10600","12400","11800","13400","14000","15200","19700","27000","35000","41300","37400","39400","",
"Syrian Arab Republic","SYR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","2700","5220","6960","11100","34700","69800","121000","242000","346000","501000","729000","1010000","1420000","1330000","1490000","1550000","1580000","1610000","1620000","",
"Turks and Caicos Islands","TCA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","331","15800","19500","14700","10100","11300","5130","331","334","68","0","0","0","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26660","366942","3378319","11467799","25585996","38842035","53495465","71349600","90439075","115076496","137814988","171435966","192705835","208232739","221606908","301300000","350300000","426600000","445600000","494900000","535200000","595100000","652300000","699000000","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172304","945126","2288046","5012329","11135860","18719023","27124156","34906926","41960223","47900267","54125075","60275684","62990386","68800000","72300000","79400000","83900000","87200000","95100000","100600000","105500000","111200000","",
"Togo","TGO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200","1910","4170","27200","34000","41500","6920","12600","66100","48800","50600","26200","31900","52700","66500","94300","114000","",
"Thailand","THA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1610","","11600","165000","555000","894000","1290000","2069999.99999999","2620000","3250000","3900000","4520000","5190000","5440000","6230000","7220000","8210000","9190000","10100000","11500000","12400000","12600000","11500000","",
"Tajikistan","TJK","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","3650","3660","4400","4700","5020","5400","5800","6100","6000","6000","6000","","6000","6000","6000","6240","","",
"Turkmenistan","TKM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","465","723","1100","1400","1800","2300","28200","46700","75200","114000","177000","237000","290000","377000","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138033","609056","1496909","2408680","6047245","8241392","12798148","19785200","27311117","33132429","38542318","45641091","51068488","55903481","60848085","66200000","70700000","75900000","81800000","85800000","96000000","106500000","114500000","119500000","",
"Timor-Leste","TLS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","22","29","50","71","471","500","550","600","700","1030","1030","","3350","70","89","83","137","137","80","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99517","","","1021027","1695712","2606940","3739938","5188037","7110817","9732202","11975076","14781798","15900000","18600000","26000000","29000000","30400000","35700000","39300000","41800000","45600000","",
"Tonga","TON","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","22","334","645","633","780","721","1000","1100","1300","1500","1700","1800","2460","3000","3000","2520","3700","5000","6810","8590","","",
"South Asia (IDA & IBRD)","TSA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50327","83191","144282","256367","1387080","2357243","3303988","5629923","8660474","12508277","15470515","17720391","18859246","21716379","24600000","28900000","29300000","30800000","32100000","38600000","45400000","52600000","59100000","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221153","","671709","801225","947491","1345449","1654192","2095874","2971686","3613564","3700000","4100000","4200000","4600000","5300000","6400000","7400000","8500000","9600000","",
"Trinidad and Tobago","TTO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","884","4230","10800","20600","35500","85400","130000","163000","172000","201000","212000","248000","279000","256000","327000","342000","339000","377000","371000","389000","404000","",
"Tunisia","TUN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","259","2840","17600","43800","95900","227000","373000","482000","559000","527000","520000","568000","574000","640000","802000","1010000","1190000","1330000","1500000","1690000","1730000","",
"Turkiye","TUR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10900","21200","199000","578000","1590000","2770000","4750000","5760000","6450000","7100000","7590000","7870000","8890000","8870000","9500000","10500000","11900000","13400000","14200000","16700000","18100000","19000000","19600000","",
"Tuvalu","TUV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","150","250","270","290","100","240","450","450","450","450","450","450","450","","","","450","452","","",
"Tanzania","TZA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2590","3000","3390","6420","6950","7550","28300","41300","56400","84600","106000","318000","763000","861000","1040000","1140000","1240000","1430000","1660000","",
"Uganda","UGA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","1210","1860","4800","6000","14000","35500","38400","41500","55200","80700","92100","","","32400","34600","38500","40300","44400","",
"Ukraine","UKR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130000","520000","800000","1600000","1910000","2960000","3170000","3640000","4000000","3950000","4980000","5130000","5240000","5410000","6780000","7770000","7570000","7190000","8070000","",
"Upper middle income","UMC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152043","865583","4611036","13550041","31396422","47657601","67858050","94261987","122101832","152840095","186223293","228241670","257708717","281338674","299707182","385800000","440200000","526500000","552200000","602700000","655700000","724600000","789600000","845500000","",
"Uruguay","URY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000","48500","107000","165000","245000","317000","384000","473000","581000","737000","840000","901000","922000","953000","977000","1010000","1060000","1110000","1140000","1100000","",
"United States","USA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","706000","2750000","7070000","12800000","19900000","27700000","37400000","51200000","60200000","71700000","77100000","80000000","84500000","88300000","92500000","96000000","97800000","102000000","106000000","108000000","111000000","114000000","121000000","126000000","128000000","131000000","",
"Uzbekistan","UZB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760","5510","8270","8640","19200","66000","88700","118000","148000","221000","306000","820000","1790000","2750000","3320000","4120000","3480000","5310000","7500000","9010000","10800000","",
"St. Vincent and the Grenadines","VCT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","1090","1150","1320","3650","5620","7970","9360","11500","12500","13200","13600","14600","14700","17000","21900","19300","24600","21700","24700","27900","29600","30900","",
"Venezuela, RB","VEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4470","36600","78200","117000","210000","356000","538000","858000","1120000","1400000","1670000","1820000","2040000","2230000","2400000","2590000","2610000","2610000","2600000","2560000","2560000","2610000","2700000","","",
"British Virgin Islands","VGB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7690","6880","7300","7440","6180","6390","6660","6220","5000","4720","5930","7090","7900","6820","","",
"Virgin Islands (U.S.)","VIR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1480","2970","","5930","7420","9000","9100","","","9100","9100","9000","","","","","","","8710","","",
"Viet Nam","VNM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","9180","52700","210000","517000","1290000","2049999.99999999","3210000","3670000","3840000","4780000","5150000","6000000","7660000","9100000","11300000","13000000","14800000","16700000","19300000","21300000","22800000","",
"Vanuatu","VUT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","23","59","95","130","200","500","500","337","310","310","4570","4300","4390","","","7890","2790","3160","3530","","",
"World","WLD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37087722","66043023","103670752.33","158047751","219600000","284000000","346100000","411000000","468100000","526300000","598000000","648900000","692400000","730800000","841300000","918100000","1027000000","1071100000","1140800000","1228800000","1328200000","1418700000","1495600000","",
"Samoa","WSM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","65","98","130","160","200","200","","1080","1240","2020","2080","2170","1690","1690","1690","1690","1690","1890","","",
"Kosovo","XKX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1500","2780","11000","26000","54000","84000","109000","167000","257000","340000","395000","276000","369000","386000","382000","391000","406000","486000","","",
"South Africa","ZAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670","20300","60000","165000","335000","378000","426000","481000","743000","907000","1110000","1620000","1710000","1410000","1150000","1120000","1110000","1250000","1300000","1690000","1950000","2150000","",
"Zambia","ZMB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","31","48","91","250","250","2340","4000","5700","10700","10300","16400","15000","13400","20500","23400","31800","35900","72200","88900","82300","80600","86400","99000","",
"Zimbabwe","ZWE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771","2850","6390","8970","10200","10200","15200","18000","47100","33000","34000","71900","104000","152000","164000","171000","187000","203000","204000","203000","205000","207000","269000","",
