"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27300","29600","31900","38800","47100","49200","57300","56200","62600","66900","67800","77700","78300","86900","89300","89300","107000","128000","103000","106000","","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","2760","3840","6260","8130","8960","11600","16900","20000","21700","23200","19800","27600","30300","34400","36100","41100","49500","54200","71100","79400","90200","92800","",
"Bhutan","BTN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060","3380","8680","13200","16800","20500","25000","27900","16500","16700","10800","8770","3190","2830","4930","10400","",
"Botswana","BWA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1800","3540","8900","10000","12000","19100","22200","21600","33300","36800","59100","32400","40000","49000","84800","133000","111000","84600","",
"Central African Republic","CAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","605","","","1860","736","619","608","499","","499","820","","",
"Canada","CAN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140000","582000","1410000","2840000","3520000","4510000","5420000","7000000","8039999.99999999","9080000","9840000","10300000","10800000","11300000","11700000","12100000","12600000","13100000","13400000","13900000","14400000","15100000","15600000","16000000","16399999.9999999","17000000","",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84220","401560","951335","2170796","3816909","8258932","12147445","14208640","16763026","18051843","20208640","20882334","21977753","22715875","23363768","24120554","25143985","26151133","27181007","28406882","29649272","30906039","","",
"Switzerland","CHE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56400","140000","455000","784000","1230000","1670000","2049999.99999999","2380000","2560000","2740000","2910000","3080000","3210000","3440000","3540000","3700000","3780000","3920000","3880000","4019999.99999999","4019999.99999999","4170000","4099999.99999999","4330000","",
"Channel Islands","CHI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7680","66700","188000","352000","479000","709000","1010000","1300000","1430000","1650000","1790000","2009999.99999999","2170000","2300000","2490000","2720000","2900000","3060000","3250000","3430000","3760000","4280000","4450000","4520000","",
"China","CHN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22700","336000","3300000","11200000","24900000","37400000","50900000","66400000","82900000","104000000","126000000","156000000","175000000","189000000","200000000","277000000","323000000","394000000","407000000","449000000","484000000","536000000","590000000","636000000","",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413","826","1240","10000","10000","10000","10000","","","46200","56300","127000","110000","136000","143000","176000","217000","261000","335000","380000","425000","",
"Cameroon","CMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","421","640","860","900","5950","10700","13800","16900","16800","20400","365000","382000","396000","401000","723000","601000","603000","","",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","450","500","1000","1000","1000","4620","11900","31000","31000","33000","","",
"Congo, Rep.","COG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","250","1310","1390","438","500","","","","","","","15100","26300","78400","",
"Colombia","COL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8870","13800","34900","64400","127000","319000","628000","1210000","1770000","2110000","2640000","3350000","3940000","4540000","5030000","5530000","5910000","6330000","6680000","6950000","7760000","8430000","8800000","8910000","",
"Comoros","COM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","","82","110","66","329","400","1230","1300","1580","1600","1630","1640","1530","1280","1190","1230","1830","3300","",
"Cabo Verde","CPV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283","937","1810","3830","7380","11000","16100","21300","19900","21200","19100","16600","15500","15000","15700","20300","24800","30500","34100","37800","",
"Costa Rica","CRI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8990","14900","27900","44900","83300","95000","110000","183000","396000","420000","449000","485000","516000","559000","639000","744000","835000","905000","993000","1060000","1110000","1150000","",
"Caribbean small states","CSS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60724","83023","98271","125196","150538","191904","193603","207698","302795","321105","353706","389722","430207","458351","380142","494979","574382","575162","","","",
"Cuba","CUB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950","2250","2880","3710","4420","5010","5360","7790","8160","14400","33500","98800","183000","232000","297000","320000","327000","",
"Curacao","CUW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31800","35600","37000","38700","40000","42700","49300","51800","53300","58500","60400","61000","","",
"Cayman Islands","CYM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17500","18300","18900","18800","19300","20300","23500","27400","24500","31200","","51000","32000","32000","40300","","",
